ORF,Gene,URL
YBR174C,YBR174C,https://www.yeastgenome.org/locus/S000000378
YBR175W,SWD3,https://www.yeastgenome.org/locus/S000000379
YBR176W,ECM31,https://www.yeastgenome.org/locus/S000000380
YBR177C,EHT1,https://www.yeastgenome.org/locus/S000000381
YBR178W,YBR178W,https://www.yeastgenome.org/locus/S000000382
YBR179C,FZO1,https://www.yeastgenome.org/locus/S000000383
YBR180W,DTR1,https://www.yeastgenome.org/locus/S000000384
YBR182C,SMP1,https://www.yeastgenome.org/locus/S000000386
YBR183W,YPC1,https://www.yeastgenome.org/locus/S000000387
YBR184W,YBR184W,https://www.yeastgenome.org/locus/S000000388
YBR185C,MBA1,https://www.yeastgenome.org/locus/S000000389
YBR187W,GDT1,https://www.yeastgenome.org/locus/S000000391
YBR188C,NTC20,https://www.yeastgenome.org/locus/S000000392
YBR190W,YBR190W,https://www.yeastgenome.org/locus/S000000394
YBR192W,RIM2,https://www.yeastgenome.org/locus/S000000396
YBR193C,MED8,https://www.yeastgenome.org/locus/S000000397
YBR194W,AIM4,https://www.yeastgenome.org/locus/S000000398
YBR195C,MSI1,https://www.yeastgenome.org/locus/S000000399
YBR196C,PGI1,https://www.yeastgenome.org/locus/S000000400
YBR197C,YBR197C,https://www.yeastgenome.org/locus/S000000401
YBR198C,TAF5,https://www.yeastgenome.org/locus/S000000402
YBR199W,KTR4,https://www.yeastgenome.org/locus/S000000403
YBR200W,BEM1,https://www.yeastgenome.org/locus/S000000404
YBR201W,DER1,https://www.yeastgenome.org/locus/S000000405
YBR202W,MCM7,https://www.yeastgenome.org/locus/S000000406
YBR203W,COS111,https://www.yeastgenome.org/locus/S000000407
YBR204C,LDH1,https://www.yeastgenome.org/locus/S000000408
YBR205W,KTR3,https://www.yeastgenome.org/locus/S000000409
YBR206W,YBR206W,https://www.yeastgenome.org/locus/S000000410
YBR207W,FTH1,https://www.yeastgenome.org/locus/S000000411
YBR208C,DUR1,https://www.yeastgenome.org/locus/S000000412
YBR209W,YBR209W,https://www.yeastgenome.org/locus/S000000413
YBR210W,ERV15,https://www.yeastgenome.org/locus/S000000414
YBR211C,AME1,https://www.yeastgenome.org/locus/S000000415
YBR212W,NGR1,https://www.yeastgenome.org/locus/S000000416
YBR213W,MET8,https://www.yeastgenome.org/locus/S000000417
YBR214W,SDS24,https://www.yeastgenome.org/locus/S000000418
YBR216C,YBP1,https://www.yeastgenome.org/locus/S000000420
YBR217W,ATG12,https://www.yeastgenome.org/locus/S000000421
YBR218C,PYC2,https://www.yeastgenome.org/locus/S000000422
YBR220C,YBR220C,https://www.yeastgenome.org/locus/S000000424
YBR221C,PDB1,https://www.yeastgenome.org/locus/S000000425
YBR222C,PCS60,https://www.yeastgenome.org/locus/S000000426
YBR223C,TDP1,https://www.yeastgenome.org/locus/S000000427
YBR224W,YBR224W,https://www.yeastgenome.org/locus/S000000428
YBR225W,YBR225W,https://www.yeastgenome.org/locus/S000000429
YBR226C,YBR226C,https://www.yeastgenome.org/locus/S000000430
YBR227C,MCX1,https://www.yeastgenome.org/locus/S000000431
YBR228W,SLX1,https://www.yeastgenome.org/locus/S000000432
YBR229C,ROT2,https://www.yeastgenome.org/locus/S000000433
YBR231C,SWC5,https://www.yeastgenome.org/locus/S000000435
YBR232C,YBR232C,https://www.yeastgenome.org/locus/S000000436
YBR233W,PBP2,https://www.yeastgenome.org/locus/S000000437
YBR234C,ARC40,https://www.yeastgenome.org/locus/S000000438
YBR235W,VHC1,https://www.yeastgenome.org/locus/S000000439
YBR236C,ABD1,https://www.yeastgenome.org/locus/S000000440
YBR237W,PRP5,https://www.yeastgenome.org/locus/S000000441
YBR238C,YBR238C,https://www.yeastgenome.org/locus/S000000442
YBR239C,ERT1,https://www.yeastgenome.org/locus/S000000443
YBR240C,THI2,https://www.yeastgenome.org/locus/S000000444
YBR241C,YBR241C,https://www.yeastgenome.org/locus/S000000445
YBR242W,YBR242W,https://www.yeastgenome.org/locus/S000000446
YBR243C,ALG7,https://www.yeastgenome.org/locus/S000000447
YBR244W,GPX2,https://www.yeastgenome.org/locus/S000000448
YBR245C,ISW1,https://www.yeastgenome.org/locus/S000000449
YBR246W,RRT2,https://www.yeastgenome.org/locus/S000000450
YBR247C,ENP1,https://www.yeastgenome.org/locus/S000000451
YBR248C,HIS7,https://www.yeastgenome.org/locus/S000000452
YBR249C,ARO4,https://www.yeastgenome.org/locus/S000000453
YBR250W,SPO23,https://www.yeastgenome.org/locus/S000000454
YBR251W,MRPS5,https://www.yeastgenome.org/locus/S000000455
YBR252W,DUT1,https://www.yeastgenome.org/locus/S000000456
YBR253W,SRB6,https://www.yeastgenome.org/locus/S000000457
